Combination,Run,Generation,Fitness
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",1,1,1.1666699999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",1,2,1.1666699999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",2,1,1.01143
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",2,2,1.07796
"('block_rotation_mutation', 'cyclic_crossover', 'fitness_proportionate_selection')",1,1,1.10181
"('block_rotation_mutation', 'cyclic_crossover', 'fitness_proportionate_selection')",1,2,1.10181
"('block_rotation_mutation', 'cyclic_crossover', 'fitness_proportionate_selection')",2,1,1.04867
"('block_rotation_mutation', 'cyclic_crossover', 'fitness_proportionate_selection')",2,2,1.04867
"('block_rotation_mutation', 'custom_pmxo', 'tournament_selection')",1,1,1.1673300000000002
"('block_rotation_mutation', 'custom_pmxo', 'tournament_selection')",1,2,1.1673300000000002
"('block_rotation_mutation', 'custom_pmxo', 'tournament_selection')",2,1,1.15157
"('block_rotation_mutation', 'custom_pmxo', 'tournament_selection')",2,2,1.21129
"('block_rotation_mutation', 'custom_pmxo', 'fitness_proportionate_selection')",1,1,1.2159
"('block_rotation_mutation', 'custom_pmxo', 'fitness_proportionate_selection')",1,2,1.2159
"('block_rotation_mutation', 'custom_pmxo', 'fitness_proportionate_selection')",2,1,1.1117599999999999
"('block_rotation_mutation', 'custom_pmxo', 'fitness_proportionate_selection')",2,2,1.15243
"('two_phase_shuffle_mutation', 'cyclic_crossover', 'tournament_selection')",1,1,1.15876
"('two_phase_shuffle_mutation', 'cyclic_crossover', 'tournament_selection')",1,2,1.15876
"('two_phase_shuffle_mutation', 'cyclic_crossover', 'tournament_selection')",2,1,1.16724
"('two_phase_shuffle_mutation', 'cyclic_crossover', 'tournament_selection')",2,2,1.16724
"('two_phase_shuffle_mutation', 'cyclic_crossover', 'fitness_proportionate_selection')",1,1,1.2764300000000002
"('two_phase_shuffle_mutation', 'cyclic_crossover', 'fitness_proportionate_selection')",1,2,1.2764300000000002
"('two_phase_shuffle_mutation', 'cyclic_crossover', 'fitness_proportionate_selection')",2,1,1.07786
"('two_phase_shuffle_mutation', 'cyclic_crossover', 'fitness_proportionate_selection')",2,2,1.07786
"('two_phase_shuffle_mutation', 'custom_pmxo', 'tournament_selection')",1,1,1.1105299999999998
"('two_phase_shuffle_mutation', 'custom_pmxo', 'tournament_selection')",1,2,1.1943800000000002
"('two_phase_shuffle_mutation', 'custom_pmxo', 'tournament_selection')",2,1,1.146
"('two_phase_shuffle_mutation', 'custom_pmxo', 'tournament_selection')",2,2,1.146
"('two_phase_shuffle_mutation', 'custom_pmxo', 'fitness_proportionate_selection')",1,1,1.06567
"('two_phase_shuffle_mutation', 'custom_pmxo', 'fitness_proportionate_selection')",1,2,1.06567
"('two_phase_shuffle_mutation', 'custom_pmxo', 'fitness_proportionate_selection')",2,1,1.1304700000000003
"('two_phase_shuffle_mutation', 'custom_pmxo', 'fitness_proportionate_selection')",2,2,1.1304700000000003
"('semi_shuffle', 'cyclic_crossover', 'tournament_selection')",1,1,1.07453
"('semi_shuffle', 'cyclic_crossover', 'tournament_selection')",1,2,1.1420000000000001
"('semi_shuffle', 'cyclic_crossover', 'tournament_selection')",2,1,1.0631
"('semi_shuffle', 'cyclic_crossover', 'tournament_selection')",2,2,1.0631
"('semi_shuffle', 'cyclic_crossover', 'fitness_proportionate_selection')",1,1,1.05843
"('semi_shuffle', 'cyclic_crossover', 'fitness_proportionate_selection')",1,2,1.05843
"('semi_shuffle', 'cyclic_crossover', 'fitness_proportionate_selection')",2,1,1.1651
"('semi_shuffle', 'cyclic_crossover', 'fitness_proportionate_selection')",2,2,1.1651
"('semi_shuffle', 'custom_pmxo', 'tournament_selection')",1,1,1.2008099999999997
"('semi_shuffle', 'custom_pmxo', 'tournament_selection')",1,2,1.23838
"('semi_shuffle', 'custom_pmxo', 'tournament_selection')",2,1,1.1975700000000002
"('semi_shuffle', 'custom_pmxo', 'tournament_selection')",2,2,1.19971
"('semi_shuffle', 'custom_pmxo', 'fitness_proportionate_selection')",1,1,1.10714
"('semi_shuffle', 'custom_pmxo', 'fitness_proportionate_selection')",1,2,1.10786
"('semi_shuffle', 'custom_pmxo', 'fitness_proportionate_selection')",2,1,1.18324
"('semi_shuffle', 'custom_pmxo', 'fitness_proportionate_selection')",2,2,1.18324
